Symbol,Strategy,Error
AI,sma_crossover,'list' object has no attribute 'empty'
AMD,sma_crossover,'list' object has no attribute 'empty'
AMZN,sma_crossover,'list' object has no attribute 'empty'
BIDU,sma_crossover,'list' object has no attribute 'empty'
BNB-BTC,sma_crossover,'list' object has no attribute 'empty'
BNB-ETH,sma_crossover,'list' object has no attribute 'empty'
BTC-USD,sma_crossover,'list' object has no attribute 'empty'
COIN,sma_crossover,'list' object has no attribute 'empty'
ETH-BTC,sma_crossover,'list' object has no attribute 'empty'
ETH-USD,sma_crossover,'list' object has no attribute 'empty'
GLXY,sma_crossover,No valid data
GOOGL,sma_crossover,'list' object has no attribute 'empty'
HUT,sma_crossover,'list' object has no attribute 'empty'
IBM,sma_crossover,'list' object has no attribute 'empty'
INTC,sma_crossover,'list' object has no attribute 'empty'
IONQ,sma_crossover,'list' object has no attribute 'empty'
LTC-BTC,sma_crossover,'list' object has no attribute 'empty'
MARA,sma_crossover,'list' object has no attribute 'empty'
META,sma_crossover,'list' object has no attribute 'empty'
MSFT,sma_crossover,'list' object has no attribute 'empty'
MSTR,sma_crossover,'list' object has no attribute 'empty'
NVDA,sma_crossover,'list' object has no attribute 'empty'
PLTR,sma_crossover,'list' object has no attribute 'empty'
QBTS,sma_crossover,'list' object has no attribute 'empty'
RGTI,sma_crossover,'list' object has no attribute 'empty'
RIOT,sma_crossover,'list' object has no attribute 'empty'
SOL-ETH,sma_crossover,'list' object has no attribute 'empty'
SQ,sma_crossover,No valid data
TSLA,sma_crossover,'list' object has no attribute 'empty'
AI,rsi,'list' object has no attribute 'empty'
AMD,rsi,'list' object has no attribute 'empty'
AMZN,rsi,'list' object has no attribute 'empty'
BIDU,rsi,'list' object has no attribute 'empty'
BNB-BTC,rsi,'list' object has no attribute 'empty'
BNB-ETH,rsi,'list' object has no attribute 'empty'
BTC-USD,rsi,'list' object has no attribute 'empty'
COIN,rsi,'list' object has no attribute 'empty'
ETH-BTC,rsi,'list' object has no attribute 'empty'
ETH-USD,rsi,'list' object has no attribute 'empty'
GLXY,rsi,No valid data
GOOGL,rsi,'list' object has no attribute 'empty'
HUT,rsi,'list' object has no attribute 'empty'
IBM,rsi,'list' object has no attribute 'empty'
INTC,rsi,'list' object has no attribute 'empty'
IONQ,rsi,'list' object has no attribute 'empty'
LTC-BTC,rsi,'list' object has no attribute 'empty'
MARA,rsi,'list' object has no attribute 'empty'
META,rsi,'list' object has no attribute 'empty'
MSFT,rsi,'list' object has no attribute 'empty'
MSTR,rsi,'list' object has no attribute 'empty'
NVDA,rsi,'list' object has no attribute 'empty'
PLTR,rsi,'list' object has no attribute 'empty'
QBTS,rsi,'list' object has no attribute 'empty'
RGTI,rsi,'list' object has no attribute 'empty'
RIOT,rsi,'list' object has no attribute 'empty'
SOL-ETH,rsi,'list' object has no attribute 'empty'
SQ,rsi,No valid data
TSLA,rsi,'list' object has no attribute 'empty'
AI,pnshoot,'list' object has no attribute 'empty'
AMD,pnshoot,'list' object has no attribute 'empty'
AMZN,pnshoot,'list' object has no attribute 'empty'
BIDU,pnshoot,'list' object has no attribute 'empty'
BNB-BTC,pnshoot,'list' object has no attribute 'empty'
BNB-ETH,pnshoot,'list' object has no attribute 'empty'
BTC-USD,pnshoot,'list' object has no attribute 'empty'
COIN,pnshoot,'list' object has no attribute 'empty'
ETH-BTC,pnshoot,'list' object has no attribute 'empty'
ETH-USD,pnshoot,'list' object has no attribute 'empty'
GLXY,pnshoot,No valid data
GOOGL,pnshoot,'list' object has no attribute 'empty'
HUT,pnshoot,'list' object has no attribute 'empty'
IBM,pnshoot,'list' object has no attribute 'empty'
INTC,pnshoot,'list' object has no attribute 'empty'
IONQ,pnshoot,'list' object has no attribute 'empty'
LTC-BTC,pnshoot,'list' object has no attribute 'empty'
MARA,pnshoot,'list' object has no attribute 'empty'
META,pnshoot,'list' object has no attribute 'empty'
MSFT,pnshoot,'list' object has no attribute 'empty'
MSTR,pnshoot,'list' object has no attribute 'empty'
NVDA,pnshoot,'list' object has no attribute 'empty'
PLTR,pnshoot,Backtest returned no usable results
QBTS,pnshoot,'list' object has no attribute 'empty'
RGTI,pnshoot,'list' object has no attribute 'empty'
RIOT,pnshoot,'list' object has no attribute 'empty'
SOL-ETH,pnshoot,'list' object has no attribute 'empty'
SQ,pnshoot,No valid data
TSLA,pnshoot,'list' object has no attribute 'empty'
